frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00027778,3600.00,3.109936,0.059161,0.575204,0,0,0
0.00028107,3557.78,3.689043,0.037417,0.577828,0,0,0
0.00028441,3516.06,4.251086,0.084796,0.685148,0,0,0
0.00028778,3474.83,4.775951,0.264546,0.947999,0,0,0
0.00029120,3434.09,5.246889,0.650713,1.369699,0,0,0
0.00029465,3393.82,5.651049,1.192307,1.885516,0,0,0
0.00029815,3354.02,5.979155,1.668200,2.353781,0,0,0
0.00030169,3314.69,6.224619,1.821751,2.615566,0,0,0
0.00030527,3275.82,6.382444,1.651070,2.698177,0,0,0
0.00030889,3237.40,6.448310,1.544948,2.869401,0,0,0
0.00031255,3199.44,6.418173,1.964173,3.324947,0,0,0
0.00031626,3161.92,6.288553,3.013725,4.003415,0,0,0
0.00032002,3124.84,6.057539,4.346156,4.735366,0,0,0
0.00032381,3088.20,5.726268,5.279804,5.241823,0,0,0
0.00032766,3051.99,5.300448,5.303793,5.294590,0,0,0
0.00033154,3016.20,4.791438,4.835892,5.229786,0,0,0
0.00033548,2980.83,4.216603,4.896126,5.628159,0,0,0
0.00033946,2945.87,3.599012,5.929367,6.550614,0,0,0
0.00034349,2911.33,2.966885,7.542964,7.760374,0,0,0
0.00034756,2877.19,2.353183,8.775764,8.856309,0,0,0
0.00035169,2843.45,1.795420,8.696200,9.293017,0,0,0
0.00035586,2810.11,1.335243,7.825281,9.392509,0,0,0
0.00036008,2777.15,1.016798,7.771582,9.966160,0,0,0
0.00036435,2744.59,0.882766,9.192790,11.008243,0,0,1
0.00036868,2712.40,0.967459,11.500293,12.283652,0,1,1
0.00037305,2680.60,1.287811,13.170985,13.299273,0,1,1
0.00037748,2649.16,1.835144,12.989117,13.431608,0,1,1
0.00038196,2618.10,2.571810,12.139110,13.425917,0,1,1
0.00038649,2587.39,3.435720,12.338016,13.861624,0,1,1
0.00039108,2557.05,4.352040,13.673810,14.312911,0,1,1
0.00039572,2527.07,5.247594,15.021717,14.576380,0,1,1
0.00040041,2497.43,6.062410,14.529698,14.023558,0,1,1
0.00040516,2468.15,6.755203,12.696829,13.121787,0,1,1
0.00040997,2439.21,7.302905,12.060046,13.042846,0,1,1
0.00041483,2410.60,7.696497,13.330840,13.421085,0,1,1
0.00041976,2382.33,7.935663,15.289264,13.787211,0,1,1
0.00042474,2354.40,8.023980,15.262766,13.288332,0,1,1
0.00042978,2326.79,7.965439,12.812293,12.153510,0,1,1
0.00043488,2299.50,7.762497,10.448083,11.515759,0,0,1
0.00044004,2272.54,7.415602,9.742228,11.123637,0,0,1
0.00044526,2245.89,6.924136,10.539065,10.720459,0,0,0
0.00045054,2219.55,6.288909,10.787795,9.754158,0,0,0
0.00045589,2193.53,5.516462,10.060401,8.900603,0,0,0
0.00046130,2167.80,4.625292,9.189403,8.626156,0,0,0
0.00046677,2142.38,3.653061,8.602672,8.384448,0,0,0
0.00047231,2117.26,2.661635,8.048390,7.746156,0,0,0
0.00047791,2092.43,1.734482,7.159963,6.773550,0,0,0
0.00048358,2067.90,0.961525,6.733972,6.400038,0,0,0
0.00048932,2043.65,0.413461,6.569509,6.278075,0,0,0
0.00049513,2019.68,0.117804,6.091639,5.812927,0,0,0
0.00050100,1996.00,0.051617,4.859141,4.703596,0,0,0
0.00050695,1972.59,0.154957,3.916987,3.772778,0,0,0
0.00051296,1949.46,0.354823,3.679284,3.254349,0,0,0
0.00051905,1926.60,0.585920,3.577843,2.800821,0,0,0
0.00052521,1904.01,0.801591,2.981797,2.151807,0,0,0
0.00053144,1881.68,0.976070,2.338095,1.636442,0,0,0
0.00053775,1859.61,1.102294,2.000322,1.352663,0,0,0
0.00054413,1837.81,1.188922,1.788762,1.046757,0,0,0
0.00055058,1816.26,1.258430,1.520862,0.659414,0,0,0
0.00055712,1794.96,1.346182,1.446633,0.429179,0,0,0
0.00056373,1773.91,1.498491,1.487303,0.475824,0,0,0
0.00057042,1753.11,1.766455,1.342429,0.643334,0,0,0
0.00057718,1732.55,2.193279,1.022749,0.729922,0,0,0
0.00058403,1712.23,2.796919,0.926828,0.754373,0,0,0
0.00059096,1692.15,3.556047,1.092760,1.041050,0,0,0
0.00059797,1672.31,4.409443,1.174446,1.627408,0,0,0
0.00060507,1652.70,5.271211,1.184427,2.135242,0,0,0
0.00061225,1633.32,6.051575,1.782881,2.496558,0,0,0
0.00061951,1614.17,6.669114,2.830625,2.930289,0,0,0
0.00062687,1595.24,7.050254,3.401607,3.397930,0,0,0
0.00063430,1576.53,7.126102,3.505304,3.898464,0,0,0
0.00064183,1558.05,6.842330,3.871669,4.653706,0,0,0
0.00064945,1539.77,6.190030,4.165721,5.000456,0,0,0
0.00065715,1521.72,5.251059,4.220312,4.947715,0,0,0
0.00066495,1503.87,4.240043,4.503942,5.646887,0,0,0
0.00067284,1486.24,3.511965,4.157276,6.477558,0,0,0
0.00068082,1468.81,3.489278,3.651611,6.463657,0,0,0
0.00068890,1451.59,4.492178,4.262196,6.438508,0,0,0
0.00069708,1434.56,6.561861,4.304105,6.464356,0,0,0
0.00070535,1417.74,9.425879,3.772954,6.554455,0,0,0
0.00071372,1401.12,12.628058,4.745562,7.500762,1,0,0
0.00072218,1384.69,15.694998,5.314138,7.842846,1,0,0
0.00073075,1368.45,18.251074,4.801967,7.381669,1,0,0
0.00073942,1352.40,20.096620,4.926366,8.023447,1,0,0
0.00074820,1336.54,21.226405,4.950194,8.169673,1,0,0
0.00075708,1320.87,21.704042,5.070138,7.311438,1,0,0
0.00076606,1305.38,21.450063,4.209777,7.088556,1,0,0
0.00077515,1290.07,20.163237,3.352821,6.329871,1,0,0
0.00078435,1274.95,17.546936,5.344092,5.177896,1,0,0
0.00079365,1259.99,13.813542,4.976874,4.381540,1,0,0
0.00080307,1245.22,9.992308,4.115568,3.900046,0,0,0
0.00081260,1230.62,7.418982,6.125162,3.706493,0,0,0
0.00082224,1216.19,6.838096,5.655620,3.218212,0,0,0
0.00083200,1201.93,8.100695,5.341997,3.522322,0,0,0
0.00084187,1187.83,10.413623,4.885816,3.315575,0,0,0
0.00085186,1173.90,12.716421,5.145801,3.060581,1,0,0
0.00086197,1160.14,14.168738,5.646010,3.504139,1,0,0
0.00087220,1146.53,14.518793,4.159876,3.090668,1,0,0
0.00088255,1133.09,13.964018,4.669478,3.288394,1,0,0
0.00089302,1119.80,12.762673,3.964954,3.204992,1,0,0
0.00090361,1106.67,11.082013,4.518467,4.150845,1,0,0
0.00091434,1093.69,9.077851,4.170449,4.238696,0,0,0
0.00092518,1080.87,6.931329,6.259651,4.252973,0,0,0
0.00093616,1068.19,4.812191,5.412760,5.325741,0,0,0
0.00094727,1055.66,2.925484,5.886586,5.918189,0,0,0
0.00095851,1043.29,1.573651,6.652663,6.922222,0,0,0
0.00096988,1031.05,1.037676,4.560452,6.944412,0,0,0
0.00098139,1018.96,1.408265,6.131664,7.129437,0,0,0
0.00099304,1007.01,2.614986,3.436815,7.036597,0,0,0
0.00100482,995.20,4.470701,5.035415,6.652806,0,0,0
0.00101674,983.53,6.595214,3.501081,7.005201,0,0,0
0.00102881,972.00,8.494277,3.554830,7.208210,0,0,0
0.00104101,960.60,9.821861,3.731945,7.471066,0,0,0
0.00105337,949.34,10.451552,4.075632,7.741486,0,0,0
0.00106587,938.20,10.312815,3.962288,7.484104,0,0,0
0.00107851,927.20,9.273543,4.696201,6.883781,0,0,0
0.00109131,916.33,7.272043,5.563093,6.412818,0,0,0
0.00110426,905.58,4.724780,5.173765,6.227327,0,0,0
0.00111736,894.97,2.816954,6.229198,6.379208,0,0,0
0.00113062,884.47,2.825944,8.197507,6.206214,0,0,0
0.00114404,874.10,4.831043,10.498492,6.327900,0,0,0
0.00115761,863.85,7.588951,9.601647,6.103699,0,0,0
0.00117135,853.72,9.676017,14.162259,6.800945,0,1,0
0.00118525,843.71,10.432207,13.714494,6.537814,0,1,0
0.00119931,833.81,9.855533,16.308640,6.226743,0,1,0
0.00121354,824.04,8.086224,16.753014,6.576479,0,1,0
0.00122794,814.37,5.430948,15.633675,5.958850,0,1,0
0.00124251,804.82,2.629613,17.267819,7.227561,0,1,0
0.00125725,795.39,0.866534,17.428812,6.442396,0,1,0
0.00127217,786.06,1.031819,17.087187,6.938118,0,1,0
0.00128727,776.84,2.553957,17.788821,6.476523,0,1,0
0.00130254,767.73,4.131798,15.715928,5.674652,0,1,0
0.00131800,758.73,5.006956,15.616840,5.157580,0,1,0
0.00133363,749.83,4.887545,10.877386,4.367162,0,1,0
0.00134946,741.04,3.660593,8.461977,3.376264,0,0,0
0.00136547,732.35,1.652915,7.873934,3.160652,0,0,0
0.00138167,723.76,0.170102,4.383516,2.600715,0,0,0
0.00139807,715.27,0.498967,2.700169,2.833859,0,0,0
0.00141466,706.89,2.438500,3.106064,2.608854,0,0,0
0.00143144,698.60,4.863573,1.369429,2.662596,0,0,0
0.00144843,690.40,6.499350,1.845241,2.927843,0,0,0
0.00146561,682.31,6.521366,2.891407,3.367017,0,0,0
0.00148300,674.31,4.693662,3.268813,4.143672,0,0,0
0.00150060,666.40,2.572553,5.866974,5.349185,0,0,0
0.00151841,658.59,3.815465,8.011456,6.462475,0,0,0
0.00153642,650.86,9.563267,9.538085,8.202680,0,0,0
0.00155465,643.23,16.170422,10.723433,8.223950,1,0,0
0.00157310,635.69,20.319027,11.631544,8.709831,1,1,0
0.00159177,628.23,21.430496,14.353208,9.001635,1,1,0
0.00161065,620.87,18.305110,12.491672,8.867372,1,1,0
0.00162977,613.59,13.033532,12.061771,8.147807,1,1,0
0.00164910,606.39,14.148645,9.579105,7.465184,1,0,0
0.00166867,599.28,23.029232,8.285237,6.218380,1,0,0
0.00168847,592.25,30.037075,5.451544,5.120004,1,0,0
