frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00027778,3600.00,0.000000,1.064721,7.085655,0,0,0
0.00028107,3557.78,0.000000,0.832008,7.281965,0,0,0
0.00028441,3516.06,0.000000,0.764341,5.843075,0,0,0
0.00028778,3474.83,0.000000,0.723000,3.430228,0,0,0
0.00029120,3434.09,0.000000,0.610891,1.195737,0,0,0
0.00029465,3393.82,0.000000,0.428109,0.105214,0,0,0
0.00029815,3354.02,0.000000,0.240780,0.401547,0,0,0
0.00030169,3314.69,0.000000,0.118136,1.549452,0,0,0
0.00030527,3275.82,0.000000,0.091600,2.634756,0,0,0
0.00030889,3237.40,0.000000,0.141814,2.954417,0,0,0
0.00031255,3199.44,0.000000,0.211828,2.426540,0,0,0
0.00031626,3161.92,0.000000,0.247445,1.522961,0,0,0
0.00032002,3124.84,0.000000,0.234400,0.783508,0,0,0
0.00032381,3088.20,0.000000,0.193570,0.398762,0,0,0
0.00032766,3051.99,0.000000,0.148003,0.218806,0,0,0
0.00033154,3016.20,0.000000,0.103983,0.062920,0,0,0
0.00033548,2980.83,0.000000,0.059004,0.024784,0,0,0
0.00033946,2945.87,0.000000,0.021258,0.466369,0,0,0
0.00034349,2911.33,0.000000,0.018004,1.590333,0,0,0
0.00034756,2877.19,0.000000,0.076496,3.008039,0,0,0
0.00035169,2843.45,0.000000,0.187810,3.842849,0,0,0
0.00035586,2810.11,0.000000,0.291639,3.369692,0,0,0
0.00036008,2777.15,0.000000,0.311206,1.776523,0,0,0
0.00036435,2744.59,0.000000,0.221343,0.359263,0,0,0
0.00036868,2712.40,0.000000,0.085833,0.548019,0,0,0
0.00037305,2680.60,0.000000,0.009194,2.534108,0,0,0
0.00037748,2649.16,0.000000,0.038460,5.010541,0,0,0
0.00038196,2618.10,0.000000,0.117319,6.141638,0,0,0
0.00038649,2587.39,0.000000,0.147588,4.982968,0,0,0
0.00039108,2557.05,0.000000,0.094039,2.431476,0,0,0
0.00039572,2527.07,0.000000,0.023004,0.466099,0,0,0
0.00040041,2497.43,0.000000,0.028571,0.119378,0,0,0
0.00040516,2468.15,0.000000,0.112828,0.687011,0,0,0
0.00040997,2439.21,0.000000,0.169497,0.860209,0,0,0
0.00041483,2410.60,0.000000,0.127377,0.304403,0,0,0
0.00041976,2382.33,0.000000,0.086252,0.049172,0,0,0
0.00042474,2354.40,0.000000,0.244471,1.083861,0,0,0
0.00042978,2326.79,0.000000,0.639251,2.864742,0,0,0
0.00043488,2299.50,0.000000,1.010165,3.722723,0,0,0
0.00044004,2272.54,0.000000,1.024581,2.754374,0,0,0
0.00044526,2245.89,0.000000,0.624259,0.957673,0,0,0
0.00045054,2219.55,0.000000,0.142516,0.030774,0,0,0
0.00045589,2193.53,0.000000,0.012141,0.411146,0,0,0
0.00046130,2167.80,0.000000,0.266607,1.033365,0,0,0
0.00046677,2142.38,0.000000,0.529325,0.923331,0,0,0
0.00047231,2117.26,0.000000,0.492389,0.409538,0,0,0
0.00047791,2092.43,0.000000,0.254967,0.256663,0,0,0
0.00048358,2067.90,0.000000,0.155269,0.407997,0,0,0
0.00048932,2043.65,0.000000,0.261216,0.284358,0,0,0
0.00049513,2019.68,0.000000,0.342023,0.037356,0,0,0
0.00050100,1996.00,0.000000,0.279267,0.442358,0,0,0
0.00050695,1972.59,0.000000,0.269917,1.410926,0,0,0
0.00051296,1949.46,0.000000,0.475014,1.811653,0,0,0
0.00051905,1926.60,0.000000,0.644554,1.130416,0,0,0
0.00052521,1904.01,0.000000,0.490524,0.371951,0,0,0
0.00053144,1881.68,0.000000,0.170598,0.523973,0,0,0
0.00053775,1859.61,0.000000,0.144042,1.096994,0,0,0
0.00054413,1837.81,0.000000,0.445926,1.072424,0,0,0
0.00055058,1816.26,0.000000,0.617097,0.515685,0,0,0
0.00055712,1794.96,0.000000,0.398469,0.111601,0,0,0
0.00056373,1773.91,0.000000,0.103191,0.092073,0,0,0
0.00057042,1753.11,0.000000,0.036924,0.326650,0,0,0
0.00057718,1732.55,0.000000,0.058767,0.633282,0,0,0
0.00058403,1712.23,0.000000,0.008963,0.548749,0,0,0
0.00059096,1692.15,0.000000,0.071204,0.056586,0,0,0
0.00059797,1672.31,0.000000,0.360571,0.541691,0,0,0
0.00060507,1652.70,0.000000,0.617605,2.869033,0,0,0
0.00061225,1633.32,0.000000,0.662912,4.764929,0,0,0
0.00061951,1614.17,0.000000,0.683531,3.444504,0,0,0
0.00062687,1595.24,0.000000,0.697599,0.613036,0,0,0
0.00063430,1576.53,0.000000,0.497293,0.340149,0,0,0
0.00064183,1558.05,0.000000,0.168836,2.581471,0,0,0
0.00064945,1539.77,0.000000,0.173663,3.358616,0,0,0
0.00065715,1521.72,0.000000,0.504995,1.751760,0,0,0
0.00066495,1503.87,0.000000,0.607121,0.831033,0,0,0
0.00067284,1486.24,0.000000,0.276203,1.239522,0,0,0
0.00068082,1468.81,0.000000,0.040053,0.679822,0,0,0
0.00068890,1451.59,0.000000,0.215588,0.134712,0,0,0
0.00069708,1434.56,0.000000,0.397379,2.329000,0,0,0
0.00070535,1417.74,0.000000,0.256336,4.358888,0,0,0
0.00071372,1401.12,0.000000,0.100410,2.458939,0,0,0
0.00072218,1384.69,0.000000,0.099921,0.514973,0,0,0
0.00073075,1368.45,0.000000,0.085895,1.336296,0,0,0
0.00073942,1352.40,0.000000,0.207135,1.579233,0,0,0
0.00074820,1336.54,0.000000,0.360726,1.483966,0,0,0
