tag,n_packets,freq_hz,A0_median,A1_median,A2_median,A0_over_anchor,A1_over_anchor,A2_over_anchor,A0_live_frac,A1_live_frac,A2_live_frac,A0_phase_median,A1_phase_median,A2_phase_median
"OPEN A0@12 (leader on, both followers listening)",20,12.0,,0.021,0.012595,,1.0,1.0,0.0,0.9,0.9,,91.61,89.15
ASK u=180 p1 pairA,20,12.0,0.035,0.019672,,,0.9368,,1.0,1.0,0.0,87.25,90.26,
ASK u=180 p1 pairB,16,12.0,,0.025,0.036069,,1.1905,2.8638,0.0,1.0,1.0,,91.01,89.44
ASK u=337.5 p1 pairA,20,12.0,0.03,0.067541,,,3.2162,,1.0,1.0,0.0,31.47,64.2,
ASK u=337.5 p1 pairB,16,12.0,,0.0685,0.095993,,3.2619,7.6215,0.0,1.0,1.0,,60.52,60.0
ASK u=315 p1 pairA,20,12.0,0.04,0.054262,,,2.5839,,1.0,1.0,0.0,351.16,37.57,
ASK u=315 p1 pairB,16,12.0,,0.0725,0.07958,,3.4524,6.3184,0.0,1.0,1.0,,34.88,28.12
ASK u=45 p1 pairA,20,12.0,0.012,0.055082,,,2.623,,0.9,1.0,0.0,142.17,143.09,
ASK u=45 p1 pairB,16,12.0,,0.062,0.07958,,2.9524,6.3184,0.0,1.0,1.0,,117.71,152.37
ASK u=112.5 p1 pairA,20,12.0,0.059,0.011475,,,0.5464,,1.0,0.8,0.0,20.57,300.03,
ASK u=112.5 p1 pairB,16,12.0,,0.027,0.032633,,1.2857,2.5909,0.0,1.0,1.0,,88.83,307.02
ASK u=225 p1 pairA,20,12.0,0.031,0.013115,,,0.6245,,1.0,1.0,0.0,225.72,170.22,
ASK u=225 p1 pairB,16,12.0,,0.028,0.029962,,1.3333,2.3789,0.0,1.0,1.0,,286.87,185.34
ASK u=292.5 p1 pairA,19,12.0,0.048,0.034426,,,1.6393,,1.0,1.0,0.0,320.52,8.43,
ASK u=292.5 p1 pairB,15,12.0,,0.079,0.056489,,3.7619,4.485,0.0,1.0,1.0,,10.09,350.3
ASK u=247.5 p1 pairA,19,12.0,0.043,0.010164,,,0.484,,1.0,0.526,0.0,260.91,241.12,
ASK u=247.5 p1 pairB,15,12.0,,0.052,0.030153,,2.4762,2.394,0.0,1.0,1.0,,322.24,240.54
ASK u=270 p1 pairA,20,12.0,0.049,0.014098,,,0.6713,,1.0,1.0,0.0,295.02,318.24,
ASK u=270 p1 pairB,16,12.0,,0.085,0.036069,,4.0476,2.8638,0.0,1.0,1.0,,349.67,294.9
ASK u=67.5 p1 pairA,20,12.0,,0.03541,,,1.6862,,0.0,1.0,0.0,,173.92,
ASK u=67.5 p1 pairB,16,12.0,,0.058,0.058397,,2.7619,4.6365,0.0,1.0,1.0,,130.8,190.22
ASK u=135 p1 pairA,19,12.0,0.09,0.015082,,,0.7182,,1.0,1.0,0.0,43.93,11.72,
ASK u=135 p1 pairB,15,12.0,,0.057,0.038168,,2.7143,3.0304,0.0,1.0,1.0,,65.57,5.45
ASK u=0 p1 pairA,20,12.0,0.026,0.071639,,,3.4114,,1.0,1.0,0.0,84.16,89.97,
ASK u=0 p1 pairB,16,12.0,,0.0655,0.101908,,3.119,8.0911,0.0,1.0,1.0,,88.63,89.95
ASK u=22.5 p1 pairA,19,12.0,0.023,0.065902,,,3.1382,,1.0,1.0,0.0,113.68,116.13,
